id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
178957,https://dadosabertos.camara.leg.br/api/v2/deputados/178957,ABEL MESQUITA JR.,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RR,55,https://www.camara.leg.br/internet/deputado/bandep/178957.jpg,
178957,https://dadosabertos.camara.leg.br/api/v2/deputados/178957,ABEL MESQUITA JR.,PMB,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RR,55,https://www.camara.leg.br/internet/deputado/bandep/178957.jpg,
178957,https://dadosabertos.camara.leg.br/api/v2/deputados/178957,ABEL MESQUITA JR.,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RR,55,https://www.camara.leg.br/internet/deputado/bandep/178957.jpg,
178957,https://dadosabertos.camara.leg.br/api/v2/deputados/178957,ABEL SALVADOR MESQUITA JUNIOR,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RR,55,https://www.camara.leg.br/internet/deputado/bandep/178957.jpg,
178957,https://dadosabertos.camara.leg.br/api/v2/deputados/178957,ABEL SALVADOR MESQUITA JUNIOR,PMB,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RR,55,https://www.camara.leg.br/internet/deputado/bandep/178957.jpg,
178957,https://dadosabertos.camara.leg.br/api/v2/deputados/178957,ABEL SALVADOR MESQUITA JUNIOR,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,RR,55,https://www.camara.leg.br/internet/deputado/bandep/178957.jpg,
141463,https://dadosabertos.camara.leg.br/api/v2/deputados/141463,ABELARDO CAMARINHA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,SP,53,https://www.camara.leg.br/internet/deputado/bandep/141463.jpg,
141463,https://dadosabertos.camara.leg.br/api/v2/deputados/141463,ABELARDO CAMARINHA,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,SP,54,https://www.camara.leg.br/internet/deputado/bandep/141463.jpg,
73764,https://dadosabertos.camara.leg.br/api/v2/deputados/73764,ABELARDO LUPION,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36790,PR,52,https://www.camara.leg.br/internet/deputado/bandep/73764.jpg,
73764,https://dadosabertos.camara.leg.br/api/v2/deputados/73764,ABELARDO LUPION,PFL,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,PR,53,https://www.camara.leg.br/internet/deputado/bandep/73764.jpg,
