deputado_id,idLegislatura_inicial,data_inicio_carreira,partido_inicio_carreira,condicao_eleitoral_inicial
178957,55,2015-02-01T00:00,PDT,
141463,53,2007-02-01T00:00,PSB,Titular
73764,49,1991-02-01T00:00,PRN,
204554,56,2019-02-01T00:00,PHS,
204521,56,2019-02-01T00:00,PSL,
204379,56,2019-02-01T00:00,PROS,
131711,53,2007-02-01T00:00,PSB,
161907,54,2011-02-01T00:00,PRB,
143254,53,2007-02-01T00:00,PMDB,
178864,55,2015-02-01T00:00,PHS,
178914,55,2015-02-01T00:00,PTB,
73886,49,1991-02-01T00:00,PT,Titular
74328,47,1983-02-01T00:00,PDS,Titular
178890,55,2015-02-01T00:00,PT,
74386,52,2003-02-01T00:00,PMDB,Titular
178968,55,2015-02-01T00:00,PTB,
133374,52,2003-02-01T00:00,PPS,
196359,55,2015-02-01T00:00,PSDB,
178903,55,2015-02-01T00:00,PSB,
204560,56,2019-02-01T00:00,PSDB,
160577,54,2011-02-01T00:00,PMDB,Titular
204528,56,2019-02-01T00:00,NOVO,
121948,56,2019-02-01T00:00,PP,
74646,48,1987-02-01T00:00,PMDB,Titular
141372,53,2007-02-01T00:00,PR,Titular
73765,50,1995-02-01T00:00,PPR,Titular
160508,54,2011-02-01T00:00,PT,Titular
136811,52,2003-02-01T00:00,PPB,
178835,54,2011-02-01T00:00,PDT,
74358,51,1999-02-01T00:00,PDT,Titular
73654,50,1995-02-01T00:00,PCdoB,Titular
160638,54,2011-02-01T00:00,PDT,Titular
160527,54,2011-02-01T00:00,PP**,Titular
204495,56,2019-02-01T00:00,PT,
73457,51,1999-02-01T00:00,PDT,Titular
204549,56,2019-02-01T00:00,PP,
173269,54,2011-02-01T00:00,PMDB,
178836,55,2015-02-01T00:00,PRB,
141373,53,2007-02-01T00:00,PSDB,Titular
74018,48,1987-02-01T00:00,PMDB,Titular
160582,54,2011-02-01T00:00,PMDB,Titular
73579,51,1999-02-01T00:00,PMDB,
73427,46,1979-02-01T00:00,MDB*,Titular
74696,51,1999-02-01T00:00,PMDB,Titular
74310,50,1995-02-01T00:00,PMDB,Titular
139133,47,1983-02-01T00:00,PDS,Titular
73979,49,1991-02-01T00:00,PTB,Titular
73477,44,1971-02-01T00:00,MDB*,Titular
160559,54,2011-02-01T00:00,PMDB,Titular
204413,56,2019-02-01T00:00,PRP,
74828,49,1991-02-01T00:00,PTB,Titular
73428,49,1991-02-01T00:00,PCdoB,Titular
204545,56,2019-02-01T00:00,PSL,
204501,56,2019-02-01T00:00,PT,
160511,54,2011-02-01T00:00,PT,Titular
150635,53,2007-02-01T00:00,PMDB,
73458,51,1999-02-01T00:00,PTB,Titular
178972,55,2015-02-01T00:00,PPS,
204571,56,2019-02-01T00:00,PDT,
178875,55,2015-02-01T00:00,PSDB,
74829,50,1995-02-01T00:00,PSB,Titular
105534,56,2019-02-01T00:00,MDB,
204544,56,2019-02-01T00:00,PSL,
160545,54,2011-02-01T00:00,DEM,Titular
136226,52,2003-02-01T00:00,PMDB,
204503,56,2019-02-01T00:00,PT,
160579,54,2011-02-01T00:00,PSB,Titular
74830,50,1995-02-01T00:00,PSDB,Titular
178833,55,2015-02-01T00:00,PSD,
141374,52,2003-02-01T00:00,PL*,
169712,54,2011-02-01T00:00,PSDB,
178936,55,2015-02-01T00:00,PRP,
204516,56,2019-02-01T00:00,NOVO,
221148,56,2019-02-01T00:00,PT,
141454,53,2007-02-01T00:00,PSDB,Titular
178846,55,2015-02-01T00:00,PR,
116663,54,2011-02-01T00:00,PV,Titular
74057,52,2003-02-01T00:00,PCdoB,Titular
178927,55,2015-02-01T00:00,PCdoB,
141375,53,2007-02-01T00:00,PP**,Titular
204353,56,2019-02-01T00:00,PRB,
204400,56,2019-02-01T00:00,PSL,
74451,51,1999-02-01T00:00,PMDB,Titular
160626,54,2011-02-01T00:00,PMDB,Titular
74675,51,1999-02-01T00:00,PFL,Titular
74167,52,2003-02-01T00:00,PL*,Titular
74341,51,1999-02-01T00:00,PPB,Titular
73430,50,1995-02-01T00:00,PMDB,Titular
178937,55,2015-02-01T00:00,PR,
178881,55,2015-02-01T00:00,PSDC,
74036,52,2003-02-01T00:00,PMDB,
129617,52,2003-02-01T00:00,PL*,
204356,56,2019-02-01T00:00,PRB,
74260,52,2003-02-01T00:00,PRONA,Titular
160603,54,2011-02-01T00:00,PT,Titular
174861,54,2011-02-01T00:00,PMDB,
133440,52,2003-02-01T00:00,PSDB,
141377,53,2007-02-01T00:00,PSB,Titular
134115,52,2003-02-01T00:00,PT,
178973,55,2015-02-01T00:00,PT,
74146,52,2003-02-01T00:00,PL*,Titular
160551,54,2011-02-01T00:00,PR,Titular
178831,55,2015-02-01T00:00,PRB,
195143,55,2015-02-01T00:00,PMDB,
133377,52,2003-02-01T00:00,PT,
74471,51,1999-02-01T00:00,PFL,Titular
161905,54,2011-02-01T00:00,PSDB,
204423,56,2019-02-01T00:00,PSC,
133439,52,2003-02-01T00:00,PDT,
178882,55,2015-02-01T00:00,PEN,
