sigla,type,id,1990,1993,1997,2001,2005,2009,2013,2017,2021
CID,EST,37905,-0.83,-0.597,-0.6,-0.399,-0.407,-0.191,-0.217,-0.129,-0.014
CID,SE,37905,0.038,0.036,0.038,0.036,0.04,0.036,0.037,0.035,0.037
PPS,EST,36813,-0.83,-0.597,-0.6,-0.399,-0.407,-0.191,-0.217,-0.129,-0.014
PPS,SE,36813,0.038,0.036,0.038,0.036,0.04,0.036,0.037,0.035,0.037
DEM,EST,36769,0.716,0.671,0.789,0.717,0.666,0.635,0.793,0.739,0.431
DEM,SE,36769,0.037,0.038,0.042,0.04,0.046,0.041,0.043,0.04,0.038
PFL,EST,36790,0.716,0.671,0.789,0.717,0.666,0.635,0.793,0.739,0.431
PFL,SE,36790,0.037,0.038,0.042,0.04,0.046,0.041,0.043,0.04,0.038
MDB,EST,36899,-0.069,-0.022,0.083,0.151,0.116,0.054,0.179,0.385,0.137
MDB,SE,36899,0.03,0.034,0.035,0.035,0.04,0.036,0.037,0.037,0.037
PMDB,EST,36800,-0.069,-0.022,0.083,0.151,0.116,0.054,0.179,0.385,0.137
PMDB,SE,36800,0.03,0.034,0.035,0.035,0.04,0.036,0.037,0.037,0.037
NOVO,EST,37901,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711,0.711
NOVO,SE,37901,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041,0.041
PCDOB,EST,36779,-0.995,-0.946,-0.966,-0.898,-0.743,-0.732,-0.744,-0.737,-0.822
PCDOB,SE,36779,0.04,0.04,0.042,0.041,0.043,0.04,0.04,0.039,0.101
PDT,EST,36786,-0.542,-0.447,-0.541,-0.49,-0.353,-0.374,-0.336,-0.405,-0.356
PDT,SE,36786,0.033,0.035,0.036,0.036,0.041,0.037,0.038,0.036,0.038
PL*,EST,36795,0.574,0.643,0.627,0.422,0.416,0.328,0.409,0.434,0.493
PL*,SE,36795,0.035,0.037,0.04,0.038,0.042,0.037,0.038,0.037,0.039
PL,EST,37906,0.574,0.643,0.627,0.422,0.416,0.328,0.409,0.434,0.493
PL,SE,37906,0.035,0.037,0.04,0.038,0.042,0.037,0.038,0.037,0.039
PODE,EST,36896,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.269,0.386
PODE,SE,36896,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.039
PP,EST,37903,0.881,0.734,0.853,0.789,0.674,0.528,0.61,0.577,0.51
PP,SE,37903,0.039,0.04,0.043,0.041,0.045,0.039,0.04,0.038,0.04
PPB,EST,36811,0.881,0.734,0.853,0.789,0.674,0.528,0.61,0.577,0.51
PPB,SE,36811,0.039,0.04,0.043,0.041,0.045,0.039,0.04,0.038,0.04
PP**,EST,36809,0.881,0.734,0.853,0.789,0.674,0.528,0.61,0.577,0.51
PP**,SE,36809,0.039,0.04,0.043,0.041,0.045,0.039,0.04,0.038,0.04
PROS,EST,36763,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.020,0.032
PROS,SE,36763,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.065,0.097
PSB,EST,36832,-0.757,-0.746,-0.662,-0.631,-0.537,-0.49,-0.428,-0.171,-0.427
PSB,SE,36832,0.036,0.037,0.038,0.037,0.041,0.038,0.037,0.035,0.038
PSC,EST,36833,0.541,0.541,0.541,0.541,0.541,0.541,0.541,0.596,0.596
PSC,SE,36833,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.071
PSD,EST,36834,0.373,0.373,0.373,0.373,0.373,0.373,0.373,0.399,0.296
PSD,SE,36834,0.039,0.039,0.039,0.039,0.039,0.039,0.039,0.037,0.037
PSDB,EST,36835,-0.309,-0.225,0.162,0.179,0.141,0.087,0.219,0.477,0.157
PSDB,SE,36835,0.031,0.033,0.035,0.036,0.04,0.036,0.036,0.037,0.037
PSL,EST,36837,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.803
PSL,SE,36837,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043
PSOL,EST,36839,-0.958,-0.958,-0.958,-0.958,-0.958,-0.958,-0.968,-0.898,-0.874
PSOL,SE,36839,0.043,0.043,0.043,0.043,0.043,0.043,0.044,0.041,0.045
PT,EST,36844,-0.931,-0.83,-0.881,-0.793,-0.525,-0.534,-0.532,-0.668,-0.691
PT,SE,36844,0.039,0.039,0.04,0.039,0.04,0.038,0.039,0.039,0.042
PTB,EST,36845,0.487,0.482,0.572,0.459,0.375,0.276,0.323,0.198,0.455
PTB,SE,36845,0.034,0.036,0.038,0.038,0.04,0.037,0.037,0.035,0.039
PTdoB,EST,36847,0.487,0.482,0.572,0.459,0.375,0.276,0.323,0.198,0.455
PTdoB,SE,36847,0.034,0.036,0.038,0.038,0.04,0.037,0.037,0.035,0.039
PV,EST,36851,-0.267,-0.267,-0.267,-0.267,-0.267,-0.267,-0.23,-0.069,-0.069
PV,SE,36851,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.034,0.034
REDE,EST,36886,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555,-0.555
REDE,SE,36886,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037
REP,EST,37908,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.55
REP,SE,37908,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.04
PR,EST,36814,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.55
PR,SE,36814,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.04
PRB,EST,36815,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.425,0.55
PRB,SE,36815,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.037,0.04
SD,EST,36765,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.19
SD,SE,36765,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.064
SOLIDARIEDADE,EST,37904,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.19
SOLIDARIEDADE,SE,37904,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.064
SDD,EST,36764,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.153,0.19
SDD,SE,36764,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.068,0.064
