deputado_id,event_date,old_bloc,new_bloc,n_pre,n_post,sim_old_pre,sim_old_post,delta_sim_old,conf_old_pre,conf_old_post,delta_conf,left_vocab_pre,left_vocab_post,right_vocab_pre,right_vocab_post,delta_left_vocab,delta_right_vocab,group,vocab_shift
160614,2013-10-02 15:43:00+00:00,Left,Left,56,13,0.84671277,0.8686408,-0.021928012,0.5343681501123199,0.5207361061957507,0.013632043916569136,0.0020622749471685274,0.0053290093562281034,0.007724766321654897,0.0050974902137438105,0.003266734409059576,-0.0026272761079110868,control,-0.005894010516970662
160614,2012-10-16 12:01:00+00:00,Left,Left,47,59,0.8688893,0.8467023,0.022186995,0.6097260388458183,0.5326355957123351,0.07709044313348323,0.005589057139426436,0.0020442431840866043,0.011909192710595828,0.007825812893956055,-0.003544813955339832,-0.004083379816639773,control,-0.0005385658612999411
160614,2013-10-07 13:49:00+00:00,Left,Left,59,10,0.8467023,0.87528145,-0.028579175,0.5326355957123351,0.5268685639806903,0.005767031731644834,0.0020442431840866043,0.0064154170811293225,0.007825812893956055,0.0037131326047936536,0.004371173897042719,-0.004112680289162401,control,-0.00848385418620512
160614,2013-10-08 16:44:00+00:00,Left,Left,59,10,0.8467023,0.87528145,-0.028579175,0.5326355957123351,0.5268685639806903,0.005767031731644834,0.0020442431840866043,0.0064154170811293225,0.007825812893956055,0.0037131326047936536,0.004371173897042719,-0.004112680289162401,control,-0.00848385418620512
160614,2013-10-02 15:21:00+00:00,Left,Left,56,13,0.84671277,0.8686408,-0.021928012,0.5343681501123199,0.5207361061957507,0.013632043916569136,0.0020622749471685274,0.0053290093562281034,0.007724766321654897,0.0050974902137438105,0.003266734409059576,-0.0026272761079110868,control,-0.005894010516970662
204407,2021-06-29 18:01:00+00:00,Left,Left,285,197,0.88620114,0.8750248,0.011176348,0.8208331971148554,0.8561436489823403,-0.03531045186748494,0.019444369578706752,0.02710476145385651,0.015985051203327345,0.017665149103046156,0.007660391875149757,0.0016800978997188118,control,-0.0059802939754309455
204407,2022-02-23 00:00:00+00:00,Left,Left,202,166,0.8803938,0.8741082,0.006285608,0.8466963497737704,0.8306545806720497,0.016041769101720726,0.02542749700044398,0.023813517541667835,0.01675992112461843,0.015232240405794926,-0.0016139794587761436,-0.0015276807188235042,control,8.629873995263937e-05
204407,2022-02-25 00:00:00+00:00,Left,Left,203,165,0.8804589,0.87399006,0.0064688325,0.8469489148279287,0.8302466262775293,0.016702288550399347,0.02543273133160024,0.023797296034495118,0.01667735993681243,0.015324557014314899,-0.0016354352971051228,-0.00135280292249753,control,0.0002826323746075929
204407,2022-02-23 00:00:00+00:00,Left,Left,202,166,0.8803938,0.8741082,0.006285608,0.8466963497737704,0.8306545806720497,0.016041769101720726,0.02542749700044398,0.023813517541667835,0.01675992112461843,0.015232240405794926,-0.0016139794587761436,-0.0015276807188235042,control,8.629873995263937e-05
204407,2022-02-23 00:00:00+00:00,Left,Left,202,166,0.8803938,0.8741082,0.006285608,0.8466963497737704,0.8306545806720497,0.016041769101720726,0.02542749700044398,0.023813517541667835,0.01675992112461843,0.015232240405794926,-0.0016139794587761436,-0.0015276807188235042,control,8.629873995263937e-05
139187,2009-08-25 19:00:00+00:00,Left,Left,28,31,0.8738162,0.87702394,-0.0032077432,0.741129412906285,0.7378024421125289,0.003326970793756101,0.0221165602642024,0.009848185355106094,0.0027161337242221266,0.00830396164212495,-0.012268374909096305,0.005587827917902824,control,0.01785620282699913
139187,2009-10-07 13:49:00+00:00,Left,Left,34,24,0.8787914,0.87799627,0.00079512596,0.739036283945674,0.7319765151045945,0.007059768841079506,0.016936191911993123,0.010742409062045793,0.003671786965477991,0.00869307493157672,-0.00619378284994733,0.00502128796609873,control,0.01121507081604606
139187,2009-11-03 18:33:00+00:00,Left,Left,31,23,0.8771458,0.8816444,-0.004498601,0.7321913014319105,0.730588620131081,0.0016026813008295226,0.017061512614678805,0.011209470325613004,0.003888674559119015,0.009071034711210494,-0.005852042289065801,0.005182360152091479,control,0.01103440244115728
139187,2009-10-15 12:58:00+00:00,Left,Left,34,23,0.8768898,0.8816444,-0.004754603,0.7399706103285014,0.730588620131081,0.009381990197420476,0.01643126891275051,0.011209470325613004,0.0035455562156673373,0.009071034711210494,-0.005221798587137505,0.005525478495543156,control,0.01074727708268066
139187,2009-05-13 17:47:00+00:00,Left,Left,29,31,0.8729126,0.88043696,-0.007524371,0.7707402937722514,0.7064799665481053,0.0642603272241461,0.020989830548745748,0.010065625689696654,0.004249144894577554,0.009228444586691722,-0.010924204859049094,0.004979299692114168,control,0.01590350455116326
74045,2005-07-08 00:00:00+00:00,Left,Left,31,39,0.8704872,0.86873806,0.0017491579,0.6571277845286532,0.68349095176872,-0.02636316724006682,0.007615703937392725,0.008089141251445749,0.004676029238391065,0.0049088719826247094,0.0004734373140530242,0.0002328427442336448,control,-0.0002405945698193794
74045,2004-10-29 17:49:00+00:00,Left,Left,41,36,0.86309165,0.8712581,-0.008166432,0.6869518508568375,0.6668209341460193,0.020130916710818236,0.008937174030385388,0.011419872073567377,0.00271782595666581,0.004560034734349486,0.0024826980431819894,0.0018422087776836758,control,-0.0006404892654983136
74045,2007-07-11 20:49:00+00:00,Left,Left,48,132,0.8728616,0.8503011,0.022560537,0.5800072368667218,0.6104791615937585,-0.030471924727036637,0.005413474476624322,0.01662738581995658,0.004658926145925726,0.005130526555019415,0.011213911343332258,0.0004716004090936886,control,-0.01074231093423857
74045,2005-10-10 16:00:00+00:00,Left,Left,32,36,0.86785126,0.8695684,-0.0017171502,0.6607814592108388,0.6852756965993757,-0.024494237388536955,0.008181474578646502,0.00822514863050214,0.005001840633645606,0.00489844481766187,4.367405185563833e-05,-0.00010339581598373636,control,-0.0001470698678393747
74045,2005-02-15 13:55:00+00:00,Left,Left,31,46,0.853242,0.8643759,-0.011133909,0.6405351970569328,0.6567917002957143,-0.016256503238781472,0.005194737253485399,0.010761672128898659,0.002895207704293001,0.0034654750487118848,0.00556693487541326,0.0005702673444188838,control,-0.004996667530994377
74272,2005-02-15 00:58:00+00:00,Left,Left,42,25,0.88337064,0.8817015,0.0016691089,0.7993849685409654,0.7824450556256498,0.016939912915315603,0.04600533811861386,0.03867891053108271,0.0017552310283710352,0.002323160878600023,-0.007326427587531152,0.0005679298502289877,control,0.00789435743776014
74272,2005-10-10 16:00:00+00:00,Left,Left,30,29,0.8835099,0.85717237,0.026337504,0.7558601569794576,0.7886571270580129,-0.03279697007855531,0.04456578016003981,0.042561567991866195,0.003000005168430491,0.004418535173098865,-0.002004212168173612,0.0014185300046683736,control,0.003422742172841986
74272,2005-02-02 16:06:00+00:00,Left,Left,44,24,0.88491637,0.8804984,0.004417956,0.803531431719851,0.7798659878468551,0.02366544387299585,0.0454693682646057,0.03932153955514914,0.0017384042339562854,0.0024199592485416904,-0.006147828709456564,0.0006815550145854051,control,0.006829383724041969
74272,2005-09-30 10:00:00+00:00,Left,Left,33,30,0.88249296,0.8593057,0.02318728,0.7667884975790252,0.7875770690404039,-0.02078857146137869,0.04705795223042119,0.04168048346740614,0.0028219743955428707,0.004271250667328903,-0.00537746876301505,0.0014492762717860323,control,0.0068267450348010825
74272,2005-09-22 11:01:00+00:00,Left,Left,33,30,0.88249296,0.8593057,0.02318728,0.7667884975790252,0.7875770690404039,-0.02078857146137869,0.04705795223042119,0.04168048346740614,0.0028219743955428707,0.004271250667328903,-0.00537746876301505,0.0014492762717860323,control,0.0068267450348010825
141492,2013-10-02 13:31:00+00:00,Left,Left,50,27,0.85066295,0.8660495,-0.015386581,0.7999142546788751,0.8114562184009926,-0.011541963722117465,0.03130359632096071,0.02820440520637793,0.007244104851358236,0.005130088132406275,-0.003099191114582782,-0.002114016718951961,control,0.0009851743956308208
141492,2013-10-01 17:41:00+00:00,Left,Left,50,27,0.85066295,0.8660495,-0.015386581,0.7999142546788751,0.8114562184009926,-0.011541963722117465,0.03130359632096071,0.02820440520637793,0.007244104851358236,0.005130088132406275,-0.003099191114582782,-0.002114016718951961,control,0.0009851743956308208
