time,coef,lower,upper,pval,sig
-6,-0.0012054013737637147,-0.011799655941479664,0.009388853193952235,0.8235337058498714,False
-5,0.006533829559978504,-0.006067769478236177,0.019135428598193185,0.30952185217897366,False
-4,-0.005139095099114697,-0.016405536268419847,0.006127346070190455,0.371310355871345,False
-3,-0.007337640887013544,-0.021689596715991237,0.0070143149419641514,0.31631491774952103,False
-2,-0.001013491612704088,-0.016638315347657712,0.014611332122249538,0.8988363314383536,False
-1,0.0,0.0,0.0,,False
1,-0.05224238806490665,-0.07078765401164941,-0.03369712211816389,3.365810255438318e-08,True
2,-0.050501516409624796,-0.06892467701894155,-0.032078355800308045,7.758878545938928e-08,True
3,-0.03967789817770366,-0.05566199389463222,-0.023693802460775095,1.1428945239847832e-06,True
4,-0.03040843108649076,-0.045798698828360525,-0.01501816334462099,0.00010770692586592102,True
5,-0.018536446811469386,-0.03144402675235304,-0.005628866870585728,0.004882510713028474,True
6,-0.0376242348663831,-0.06020724409987438,-0.015041225632891814,0.0010931665418675628,True
