deputado_id,switch_date,effect,abs_effect,n_pre,n_post,ideology_distance,direction,crosses_coalition,tenure_years,experience_cat,new_party_size,party_size_cat,vulnerability,old_CAT,new_CAT
109429,2019-02-27 16:21:00+00:00,0.013452705128756397,0.013452705128756397,12,12,,Unknown,False,6.99,Mid,24,Medium,Low,,Right
109429,2019-08-16 16:25:00+00:00,0.013452705128756397,0.013452705128756397,12,12,0.0,Unknown,False,6.99,Mid,25,Medium,Low,Right,Right
109429,2022-04-06 18:07:00+00:00,0.013452705128756397,0.013452705128756397,12,12,,Unknown,False,6.99,Mid,0,Minor,Low,Right,
114941,2018-04-02 20:20:00+00:00,0.03024427765104224,0.03024427765104224,22,8,0.159,Unknown,False,2.71,Junior,10,Medium,Low,Center,Center
116663,2013-10-08 16:30:00+00:00,-0.019018819520047664,0.019018819520047664,43,6,0.27,Unknown,False,2.21,Junior,30,Major,Low,Left,Left
122158,2018-04-11 17:04:00+00:00,0.008166061731094458,0.008166061731094458,15,23,0.48700000000000004,Unknown,False,6.63,Mid,41,Major,Low,Center,Right
122158,2022-02-23 00:00:00+00:00,0.008166061731094458,0.008166061731094458,15,23,,Unknown,False,6.63,Mid,0,Minor,Low,Right,
122158,2022-03-31 20:37:00+00:00,0.008166061731094458,0.008166061731094458,15,23,,Unknown,False,6.63,Mid,44,Major,Low,,Right
129618,2004-06-23 10:21:00+00:00,-0.012275985200513775,0.012275985200513775,11,55,0.295,Unknown,False,1.62,Junior,45,Major,Low,Right,Right
129618,2005-02-15 19:06:00+00:00,-0.012275985200513775,0.012275985200513775,11,55,0.271,Unknown,False,1.62,Junior,91,Major,Low,Right,Center
129618,2005-02-22 13:03:00+00:00,-0.012275985200513775,0.012275985200513775,11,55,,Unknown,False,1.62,Junior,0,Minor,Low,Center,
129618,2005-02-28 11:13:00+00:00,-0.012275985200513775,0.012275985200513775,11,55,,Unknown,False,1.62,Junior,91,Major,Low,,Center
129618,2005-04-15 10:54:00+00:00,-0.012275985200513775,0.012275985200513775,11,55,0.306,Unknown,False,1.62,Junior,52,Major,Low,Center,Right
129618,2007-01-25 00:00:00+00:00,-0.012275985200513775,0.012275985200513775,11,55,0.0030000000000000027,Unknown,False,1.62,Junior,39,Major,Low,Right,Right
129618,2020-12-21 17:35:00+00:00,-0.012275985200513775,0.012275985200513775,11,55,0.009000000000000008,Unknown,False,1.62,Junior,23,Medium,Low,Right,Right
133374,2005-02-15 00:58:00+00:00,-0.016371570636554422,0.016371570636554422,60,53,0.821,Unknown,False,12.3,Senior,52,Major,Low,Left,Right
133374,2005-10-04 13:55:00+00:00,-0.016371570636554422,0.016371570636554422,60,53,0.7749999999999999,Unknown,False,12.3,Senior,20,Medium,Low,Right,Left
133374,2011-10-26 12:02:00+00:00,-0.016371570636554422,0.016371570636554422,60,53,0.752,Unknown,False,12.3,Senior,38,Major,Low,Left,Right
133374,2013-10-02 13:01:00+00:00,-0.016371570636554422,0.016371570636554422,60,53,0.353,Unknown,False,12.3,Senior,12,Medium,Low,Right,Center
133374,2016-03-09 15:36:00+00:00,-0.016371570636554422,0.016371570636554422,60,53,,Unknown,False,12.3,Senior,0,Minor,Low,Center,
133374,2017-05-19 00:00:00+00:00,-0.016371570636554422,0.016371570636554422,60,53,,Unknown,False,12.3,Senior,15,Medium,Low,,Right
133374,2018-04-11 12:39:00+00:00,-0.016371570636554422,0.016371570636554422,60,53,0.09000000000000002,Unknown,False,12.3,Senior,56,Major,Low,Right,Center
133374,2018-05-21 11:16:00+00:00,-0.016371570636554422,0.016371570636554422,60,53,0.0,Unknown,False,12.3,Senior,39,Major,Low,Center,Center
133375,2005-02-14 09:21:00+00:00,0.018868224678813626,0.018868224678813626,7,15,1.053,Unknown,False,2.15,Junior,52,Major,Low,Left,Right
133375,2005-09-20 19:32:00+00:00,0.018868224678813626,0.018868224678813626,7,15,0.9590000000000001,Unknown,False,2.15,Junior,28,Medium,Low,Right,Left
133377,2005-08-30 16:52:00+00:00,-0.020551762828451767,0.020551762828451767,5,9,,Unknown,False,2.3,Junior,0,Minor,Low,Left,
133377,2005-09-15 17:01:00+00:00,-0.020551762828451767,0.020551762828451767,5,9,,Unknown,False,2.3,Junior,20,Medium,Low,,Left
133440,2005-05-25 20:48:00+00:00,-0.013005912057114093,0.013005912057114093,14,12,0.281,Unknown,False,2.2,Junior,52,Major,Low,Center,Right
133440,2006-01-30 17:51:00+00:00,-0.013005912057114093,0.013005912057114093,14,12,0.281,Unknown,False,2.2,Junior,54,Major,Low,Right,Center
136811,2003-06-02 00:00:00+00:00,-0.07821424221914562,0.07821424221914562,25,29,0.11499999999999999,Unknown,False,15.25,Senior,48,Major,Low,Right,Right
136811,2018-12-11 10:29:00+00:00,-0.07821424221914562,0.07821424221914562,25,29,0.09700000000000009,Unknown,False,15.25,Senior,20,Medium,Low,Right,Right
137070,2016-02-23 16:59:00+00:00,0.03147817586213493,0.03147817586213493,12,18,0.853,Unknown,False,0.66,Junior,39,Major,Low,Left,Right
137070,2019-05-22 17:05:00+00:00,0.03147817586213493,0.03147817586213493,12,18,0.009000000000000008,Unknown,False,0.66,Junior,26,Medium,Low,Right,Right
137070,2022-03-23 10:30:00+00:00,0.03147817586213493,0.03147817586213493,12,18,0.14299999999999996,Unknown,False,0.66,Junior,45,Major,Low,Right,Right
141383,2009-11-03 18:37:00+00:00,-0.0295733314759688,0.0295733314759688,29,22,0.309,Unknown,False,2.295,Junior,8,Minor,Low,Center,Right
141389,2007-04-23 00:00:00+00:00,-0.027909579817047586,0.027909579817047586,6,68,0.02200000000000002,Unknown,False,0.15,Junior,62,Major,Low,Right,Right
141408,2007-03-29 00:00:00+00:00,0.021206536008725657,0.021206536008725657,15,137,,Unknown,False,11.64,Senior,25,Medium,Low,,Right
141408,2007-04-10 00:00:00+00:00,0.021206536008725657,0.021206536008725657,15,137,,Unknown,False,11.64,Senior,0,Minor,Low,Right,
141408,2007-06-11 00:00:00+00:00,0.021206536008725657,0.021206536008725657,15,137,,Unknown,False,11.64,Senior,25,Medium,Low,,Right
141408,2007-07-05 18:32:00+00:00,0.021206536008725657,0.021206536008725657,15,137,0.04999999999999999,Unknown,False,11.64,Senior,6,Minor,Low,Right,Right
141408,2019-08-16 16:25:00+00:00,0.021206536008725657,0.021206536008725657,15,137,0.0,Unknown,False,11.64,Senior,25,Medium,Low,Right,Right
141412,2007-09-21 00:00:00+00:00,0.0659905522389028,0.0659905522389028,11,6,0.894,Unknown,False,0.33,Junior,11,Medium,Low,Left,Right
141412,2007-10-31 00:00:00+00:00,0.0659905522389028,0.0659905522389028,11,6,0.894,Unknown,False,0.33,Junior,24,Medium,Low,Right,Left
141412,2009-09-30 18:38:00+00:00,0.0659905522389028,0.0659905522389028,11,6,0.778,Unknown,False,0.33,Junior,43,Major,Low,Left,Right
141417,2016-03-15 17:50:00+00:00,-0.04375442204287994,0.04375442204287994,9,9,0.246,Unknown,False,8.77,Mid,39,Major,Low,Center,Right
141417,2019-05-22 17:05:00+00:00,-0.04375442204287994,0.04375442204287994,9,9,0.009000000000000008,Unknown,False,8.77,Mid,26,Medium,Low,Right,Right
141422,2007-04-23 00:00:00+00:00,-0.19820092218770283,0.19820092218770283,19,15,0.02200000000000002,Unknown,False,14.24,Senior,62,Major,Low,Right,Right
141422,2022-02-23 00:00:00+00:00,-0.19820092218770283,0.19820092218770283,19,15,,Unknown,False,14.24,Senior,0,Minor,Low,Right,
141427,2015-11-25 18:47:00+00:00,0.034598926325851716,0.034598926325851716,22,13,,Unknown,False,10.7,Senior,0,Minor,Low,Left,
141427,2016-03-21 16:55:00+00:00,0.034598926325851716,0.034598926325851716,22,13,,Unknown,False,10.7,Senior,74,Major,Low,,Center
141427,2018-05-21 11:16:00+00:00,0.034598926325851716,0.034598926325851716,22,13,0.0,Unknown,False,10.7,Senior,39,Major,Low,Center,Center
141429,2007-04-23 00:00:00+00:00,-0.09169612876445399,0.09169612876445399,5,18,0.02200000000000002,Unknown,False,0.11,Junior,62,Major,Low,Right,Right
