Period,Coefficient,SE,p_value
-6,-0.0012054013737637147,0.0054053312465341605,0.8235337058498714
-5,0.006533829559978504,0.006429505408065907,0.30952185217897366
-4,-0.005139095099114697,0.0057482898962294224,0.371310355871345
-3,-0.007337640887013544,0.007322560997132648,0.31631491774952103
-2,-0.001013491612704088,0.007971995331649072,0.8988363314383536
1,-0.05224238806490665,0.009462044248274687,3.365810255438318e-08
2,-0.050501516409624796,0.009399744461957614,7.758878545938928e-08
3,-0.03967789817770366,0.008155300731548678,1.1428945239847832e-06
4,-0.03040843108649076,0.007852321707575362,0.00010770692586592102
5,-0.018536446811469386,0.006585620982169572,0.004882510713028474
6,-0.0376242348663831,0.011522155208780967,0.0010931665418675628
